case	image	csv	marked	marked_sha256	final_csv_timestamp	decision_timestamp	locked
D01	assets/charts/CH_D01_visible_only.png	assets/visible_only_csv/CH_D01_visible_only.csv	/Users/randyschutt/Desktop/Trading/MMM-Agents/20_CHART_HEAVY_PRACTICAL_V01_V10/attempts/AI_STUDENT_PRACTICAL_002/MARKED_CHARTS/D01_marked.png	e73e5314eea1c844ae369212d311e4cfc27bfebd895dde76120ed459f2ae214d	2014-09-30 12:00	2014-09-30 12:00 UTC-5	2026-08-13T21:11:00-04:00
D02	assets/charts/CH_D02_visible_only.png	assets/visible_only_csv/CH_D02_visible_only.csv	/Users/randyschutt/Desktop/Trading/MMM-Agents/20_CHART_HEAVY_PRACTICAL_V01_V10/attempts/AI_STUDENT_PRACTICAL_002/MARKED_CHARTS/D02_marked.png	fc9e9eff2e2b8af63c6e51daa5770813587d90ad9c9edf12cfc2f4d641c47058	2014-10-28 12:00	2014-10-28 12:00 UTC-5	2026-08-13T21:11:10-04:00
D03	assets/charts/CH_D03_visible_only.png	assets/visible_only_csv/CH_D03_visible_only.csv	/Users/randyschutt/Desktop/Trading/MMM-Agents/20_CHART_HEAVY_PRACTICAL_V01_V10/attempts/AI_STUDENT_PRACTICAL_002/MARKED_CHARTS/D03_marked.png	bb330babd4eae68a30c6180eebdd128e01ca77c99eeea991fafa7593d732ca28	2014-11-18 12:00	2014-11-18 12:00 UTC-5	2026-08-13T21:11:20-04:00
D04	assets/charts/CH_D04_visible_only.png	assets/visible_only_csv/CH_D04_visible_only.csv	/Users/randyschutt/Desktop/Trading/MMM-Agents/20_CHART_HEAVY_PRACTICAL_V01_V10/attempts/AI_STUDENT_PRACTICAL_002/MARKED_CHARTS/D04_marked.png	10f6e6ae08f4e3a02f394a1317192946113955cd98a4790f4e01bd23e7c8231d	2014-12-09 12:00	2014-12-09 12:00 UTC-5	2026-08-13T21:11:29-04:00
D05	assets/charts/CH_D05_visible_only.png	assets/visible_only_csv/CH_D05_visible_only.csv	/Users/randyschutt/Desktop/Trading/MMM-Agents/20_CHART_HEAVY_PRACTICAL_V01_V10/attempts/AI_STUDENT_PRACTICAL_002/MARKED_CHARTS/D05_marked.png	a55e0be969548d33cebd57956f1d8deaa308abcdff43bd74c2dacb4dd7455771	2014-12-30 12:00	2014-12-30 12:00 UTC-5	2026-08-13T21:11:37-04:00
D06	assets/charts/CH_D06_visible_only.png	assets/visible_only_csv/CH_D06_visible_only.csv	/Users/randyschutt/Desktop/Trading/MMM-Agents/20_CHART_HEAVY_PRACTICAL_V01_V10/attempts/AI_STUDENT_PRACTICAL_002/MARKED_CHARTS/D06_marked.png	9e7cfec1906e36ebe299be709d261dddc348a8787ecc82f62490114450e8a37f	2015-01-20 12:00	2015-01-20 12:00 UTC-5	2026-08-13T21:11:47-04:00
D07	assets/charts/CH_D07_visible_only.png	assets/visible_only_csv/CH_D07_visible_only.csv	/Users/randyschutt/Desktop/Trading/MMM-Agents/20_CHART_HEAVY_PRACTICAL_V01_V10/attempts/AI_STUDENT_PRACTICAL_002/MARKED_CHARTS/D07_marked.png	b6f500df47e90796a463003c7acd9dc8dd81caa2e5919f012772eb50054fb3ce	2015-02-10 12:00	2015-02-10 12:00 UTC-5	2026-08-13T21:11:58-04:00
D08	assets/charts/CH_D08_visible_only.png	assets/visible_only_csv/CH_D08_visible_only.csv	/Users/randyschutt/Desktop/Trading/MMM-Agents/20_CHART_HEAVY_PRACTICAL_V01_V10/attempts/AI_STUDENT_PRACTICAL_002/MARKED_CHARTS/D08_marked.png	72a608cd98bb17c2233d6fd42acee5a54d51da70cb67665344dd571ea2fb4967	2015-03-03 12:00	2015-03-03 12:00 UTC-5	2026-08-13T21:12:07-04:00
E01	assets/charts/CH_E01_visible_only.png	assets/visible_only_csv/CH_E01_visible_only.csv	/Users/randyschutt/Desktop/Trading/MMM-Agents/20_CHART_HEAVY_PRACTICAL_V01_V10/attempts/AI_STUDENT_PRACTICAL_002/MARKED_CHARTS/E01_marked.png	42a9d99d68e7cb57795768c4341f07349a1294b83da0f21d303a204afe59a98d	2015-03-31 12:00	2015-03-31 12:00 UTC-5	2026-08-13T21:12:26-04:00
E02	assets/charts/CH_E02_visible_only.png	assets/visible_only_csv/CH_E02_visible_only.csv	/Users/randyschutt/Desktop/Trading/MMM-Agents/20_CHART_HEAVY_PRACTICAL_V01_V10/attempts/AI_STUDENT_PRACTICAL_002/MARKED_CHARTS/E02_marked.png	322ad0c0dc1f0b4a4fad7d5bd6ed23765268e86952fc53e66b182751d4a3e8ff	2015-04-21 12:00	2015-04-21 12:00 UTC-5	2026-08-13T21:12:39-04:00
E03	assets/charts/CH_E03_visible_only.png	assets/visible_only_csv/CH_E03_visible_only.csv	/Users/randyschutt/Desktop/Trading/MMM-Agents/20_CHART_HEAVY_PRACTICAL_V01_V10/attempts/AI_STUDENT_PRACTICAL_002/MARKED_CHARTS/E03_marked.png	c71f7e4006abf927afea28112050346b70a43daf1d2ddff7466d874f21d6524f	2015-05-12 12:00	2015-05-12 12:00 UTC-5	2026-08-13T21:12:51-04:00
E04	assets/charts/CH_E04_visible_only.png	assets/visible_only_csv/CH_E04_visible_only.csv	/Users/randyschutt/Desktop/Trading/MMM-Agents/20_CHART_HEAVY_PRACTICAL_V01_V10/attempts/AI_STUDENT_PRACTICAL_002/MARKED_CHARTS/E04_marked.png	54835fdfc7dcdf6446e43df22ba9dff67e649a3622d9626d23793f8fbb3b567e	2015-06-02 12:00	2015-06-02 12:00 UTC-5	2026-08-13T21:13:09-04:00
E05	assets/charts/CH_E05_visible_only.png	assets/visible_only_csv/CH_E05_visible_only.csv	/Users/randyschutt/Desktop/Trading/MMM-Agents/20_CHART_HEAVY_PRACTICAL_V01_V10/attempts/AI_STUDENT_PRACTICAL_002/MARKED_CHARTS/E05_marked.png	71e367a588fa53a1125d92a17f5d20615d77b71263cf120486d4af37e867283b	2015-06-23 11:45	2015-06-23 11:45 UTC-5	2026-08-13T21:13:18-04:00
E06	assets/charts/CH_E06_visible_only.png	assets/visible_only_csv/CH_E06_visible_only.csv	/Users/randyschutt/Desktop/Trading/MMM-Agents/20_CHART_HEAVY_PRACTICAL_V01_V10/attempts/AI_STUDENT_PRACTICAL_002/MARKED_CHARTS/E06_marked.png	2897d99d560de6574b02909bf0f36db3b1746ddebc08c55e416b468c90c63f4d	2015-07-14 11:45	2015-07-14 11:45 UTC-5	2026-08-13T21:13:27-04:00
E07	assets/charts/CH_E07_visible_only.png	assets/visible_only_csv/CH_E07_visible_only.csv	/Users/randyschutt/Desktop/Trading/MMM-Agents/20_CHART_HEAVY_PRACTICAL_V01_V10/attempts/AI_STUDENT_PRACTICAL_002/MARKED_CHARTS/E07_marked.png	71b8756c7eb46e9de877e35085572679a6fd877e1c80b83641bde289bd330d2b	2015-08-04 11:45	2015-08-04 11:45 UTC-5	2026-08-13T21:13:36-04:00
E08	assets/charts/CH_E08_visible_only.png	assets/visible_only_csv/CH_E08_visible_only.csv	/Users/randyschutt/Desktop/Trading/MMM-Agents/20_CHART_HEAVY_PRACTICAL_V01_V10/attempts/AI_STUDENT_PRACTICAL_002/MARKED_CHARTS/E08_marked.png	f33425159d700a45f8c82128677ca5f0e8d7e319d2524abbc991c11eb1468112	2015-09-01 11:45	2015-09-01 11:45 UTC-5	2026-08-13T21:13:47-04:00
F01	assets/charts/CH_F01_visible_only.png	assets/visible_only_csv/CH_F01_visible_only.csv	/Users/randyschutt/Desktop/Trading/MMM-Agents/20_CHART_HEAVY_PRACTICAL_V01_V10/attempts/AI_STUDENT_PRACTICAL_002/MARKED_CHARTS/F01_marked.png	0023bff53a962b7985d55a8d8f6446093bdf6e302c67fe86c518d3ccc2c4599f	2015-09-22 12:00	2015-09-22 12:00 UTC-5	2026-08-13T21:14:26-04:00
F02	assets/charts/CH_F02_visible_only.png	assets/visible_only_csv/CH_F02_visible_only.csv	/Users/randyschutt/Desktop/Trading/MMM-Agents/20_CHART_HEAVY_PRACTICAL_V01_V10/attempts/AI_STUDENT_PRACTICAL_002/MARKED_CHARTS/F02_marked.png	2a4dcc0602aa91643f99f8cce8376780e9cbf8c61ad902981d205ba0421651fe	2015-10-20 12:00	2015-10-20 12:00 UTC-5	2026-08-13T21:14:44-04:00
F03	assets/charts/CH_F03_visible_only.png	assets/visible_only_csv/CH_F03_visible_only.csv	/Users/randyschutt/Desktop/Trading/MMM-Agents/20_CHART_HEAVY_PRACTICAL_V01_V10/attempts/AI_STUDENT_PRACTICAL_002/MARKED_CHARTS/F03_marked.png	608d65b27c2f3d63020a9264774870897863c126e6e7e6e60bb3daf82bd7247a	2015-11-17 12:00	2015-11-17 12:00 UTC-5	2026-08-13T21:15:02-04:00
F04	assets/charts/CH_F04_visible_only.png	assets/visible_only_csv/CH_F04_visible_only.csv	/Users/randyschutt/Desktop/Trading/MMM-Agents/20_CHART_HEAVY_PRACTICAL_V01_V10/attempts/AI_STUDENT_PRACTICAL_002/MARKED_CHARTS/F04_marked.png	c0d9da336f18c71f0ec5e9fe9a28e1a7e8fcccbcf624802822b2501b4ebc6e4c	2015-12-15 12:00	2015-12-15 12:00 UTC-5	2026-08-13T21:15:14-04:00
F05	assets/charts/CH_F05_visible_only.png	assets/visible_only_csv/CH_F05_visible_only.csv	/Users/randyschutt/Desktop/Trading/MMM-Agents/20_CHART_HEAVY_PRACTICAL_V01_V10/attempts/AI_STUDENT_PRACTICAL_002/MARKED_CHARTS/F05_marked.png	eb6d01b34c42aa59a3042b640669bda651c913716e8db2724fb95ffa87417f97	2016-01-19 12:00	2016-01-19 12:00 UTC-5	2026-08-13T21:15:56-04:00
F06	assets/charts/CH_F06_visible_only.png	assets/visible_only_csv/CH_F06_visible_only.csv	/Users/randyschutt/Desktop/Trading/MMM-Agents/20_CHART_HEAVY_PRACTICAL_V01_V10/attempts/AI_STUDENT_PRACTICAL_002/MARKED_CHARTS/F06_marked.png	a8449819dd130932fd421f54690ff7c3b154c0a4245686293c2f08b821267116	2016-02-09 12:00	2016-02-09 12:00 UTC-5	2026-08-13T21:16:19-04:00
F07	assets/charts/CH_F07_visible_only.png	assets/visible_only_csv/CH_F07_visible_only.csv	/Users/randyschutt/Desktop/Trading/MMM-Agents/20_CHART_HEAVY_PRACTICAL_V01_V10/attempts/AI_STUDENT_PRACTICAL_002/MARKED_CHARTS/F07_marked.png	104ea10c93de6ead36ef34cf3d7bf3fcbfe9b7a16b0e3607223f87b7cd9e54c1	2016-03-01 12:00	2016-03-01 12:00 UTC-5	2026-08-13T21:16:40-04:00
F08	assets/charts/CH_F08_visible_only.png	assets/visible_only_csv/CH_F08_visible_only.csv	/Users/randyschutt/Desktop/Trading/MMM-Agents/20_CHART_HEAVY_PRACTICAL_V01_V10/attempts/AI_STUDENT_PRACTICAL_002/MARKED_CHARTS/F08_marked.png	a4566c5f6c7c90279c9d9eaa951e6c72a018398762d31e54b0f0c20ce4328d09	2016-03-22 12:00	2016-03-22 12:00 UTC-5	2026-08-13T21:16:51-04:00
G01	assets/source_cards/SRC01_V01_TYPICAL_WEEK.png		/Users/randyschutt/Desktop/Trading/MMM-Agents/20_CHART_HEAVY_PRACTICAL_V01_V10/attempts/AI_STUDENT_PRACTICAL_002/MARKED_CHARTS/G01_marked.png	a0805a4fcf9ba42eb9e90c461769ad9ddda4c5ab7e3b26a88ee16acc5f223624	N/A (source-card)		2026-08-13T21:17:34-04:00
G02	assets/source_cards/SRC02_V02_POP_QUIZ.png		/Users/randyschutt/Desktop/Trading/MMM-Agents/20_CHART_HEAVY_PRACTICAL_V01_V10/attempts/AI_STUDENT_PRACTICAL_002/MARKED_CHARTS/G02_marked.png	a65ed336934d728f441e09920fabf4f570edd203f2de406ba9b940729f956581	N/A (source-card)		2026-08-13T21:17:57-04:00
G03	assets/source_cards/SRC03_V03_FLASHCARD.png		/Users/randyschutt/Desktop/Trading/MMM-Agents/20_CHART_HEAVY_PRACTICAL_V01_V10/attempts/AI_STUDENT_PRACTICAL_002/MARKED_CHARTS/G03_marked.png	a3e3f125ac89c1b4f44b10cbf1026f175256fb64dc8b457816871b41a329e487	N/A (source-card)		2026-08-13T21:18:31-04:00
G04	assets/source_cards/SRC04_V04_SECOND_LEG.png		/Users/randyschutt/Desktop/Trading/MMM-Agents/20_CHART_HEAVY_PRACTICAL_V01_V10/attempts/AI_STUDENT_PRACTICAL_002/MARKED_CHARTS/G04_marked.png	e4e07076d16eb9c41870f6415825983e2e8814cbb6b2fa5e8af5ac237e75bbdb	N/A (source-card)		2026-08-13T21:18:53-04:00
G05	assets/source_cards/SRC05_V06_PUSHES.png		/Users/randyschutt/Desktop/Trading/MMM-Agents/20_CHART_HEAVY_PRACTICAL_V01_V10/attempts/AI_STUDENT_PRACTICAL_002/MARKED_CHARTS/G05_marked.png	79567db2b5620080e0a0c32001b06c8868e9abc1b09e0db31de7422005a99cdc	N/A (source-card)		2026-08-13T21:19:15-04:00
G06	assets/source_cards/SRC06_V07_STAIR_STEP.png		/Users/randyschutt/Desktop/Trading/MMM-Agents/20_CHART_HEAVY_PRACTICAL_V01_V10/attempts/AI_STUDENT_PRACTICAL_002/MARKED_CHARTS/G06_marked.png	a705d86644ce9c5b56257255b67925e626a5680cc921190bf854ea6b3b0d4f7c	N/A (source-card)		2026-08-13T21:19:35-04:00
G07	assets/source_cards/SRC07_V08_HIGH_LOW.png		/Users/randyschutt/Desktop/Trading/MMM-Agents/20_CHART_HEAVY_PRACTICAL_V01_V10/attempts/AI_STUDENT_PRACTICAL_002/MARKED_CHARTS/G07_marked.png	9dd8acf5f1cd3affb6782a09dec08654eb0a2cd68b9be2a67534cc08dd95067f	N/A (source-card)		2026-08-13T21:19:56-04:00
G08	assets/source_cards/SRC08_V10_SAFETY.png		/Users/randyschutt/Desktop/Trading/MMM-Agents/20_CHART_HEAVY_PRACTICAL_V01_V10/attempts/AI_STUDENT_PRACTICAL_002/MARKED_CHARTS/G08_marked.png	23b0abb8a02333dc756739f27e5c9de84984c445ca8590f326ac7c4a46e9b6fb	N/A (source-card)		2026-08-13T21:20:18-04:00
